id,subject,topic,difficulty,question,A,B,C,D,correct
287,Cloud Computing,Trends,hard,Serverless computing means?,Run code without managing servers,Run on physical servers,Manual scaling,None,A
288,Cloud Computing,Trends,hard,Kubernetes used for?,Container orchestration,VM management,Security,Storage,A
289,Cloud Computing,Trends,hard,Function-as-a-Service is part of?,Serverless model,IaaS,PaaS,SaaS,A
290,Cloud Computing,Trends,hard,Which company offers Lambda?,Amazon,Google,IBM,Microsoft,A
291,Cloud Computing,Security,hard,IAM stands for?,Identity and Access Management,Internet Access Module,Internal Admin Manager,None,A
292,Cloud Computing,Security,hard,Encryption converts data to?,Unreadable form,Readable text,Numbers,None,A
293,Cloud Computing,Security,hard,Backup ensures?,Data recovery,Data deletion,Encryption,None,A
294,Cloud Computing,Security,hard,Risk management identifies?,Threats and vulnerabilities,Servers,Billing,None,A
295,Cloud Computing,Compliance,hard,GDPR relates to?,Data protection,Cloud storage,Computing speed,None,A
296,Cloud Computing,Virtualization,hard,KVM is a?,Type-1 hypervisor,Type-2 hypervisor,Container,None,A
297,Cloud Computing,Performance,hard,Load balancing helps?,Distribute workload,Reduce redundancy,Encrypt data,None,A
298,Cloud Computing,Performance,hard,CDN stands for?,Content Delivery Network,Cloud Data Node,Central Data Network,None,A
299,Cloud Computing,Trends,hard,Cloud bursting means?,Using public cloud during peak,Data backup,Encryption,None,A
300,Cloud Computing,Security,hard,Main security challenge in cloud?,Data privacy,Data entry,Low cost,None,A
301, CN      , Introduction      , easy       , Computer Network is a collection of?                       , Hardware only               , Connected devices               , Independent programs        , Databases                 , B       
302, CN      , Introduction      , easy       , Which of the following is not a type of network?           , LAN                         , MAN                             , CAN                         , SAN                       , C       
303, CN      , Introduction      , easy       , Which device connects different networks?                  , Switch                      , Router                          , Hub                         , Repeater                  , B       
304, CN      , Network Models    , easy       , The OSI model has how many layers?                         ,5,6,7,8, C       
305, CN      , Network Models    , easy       , Which layer of OSI model handles end-to-end communication? , Transport                   , Network                         , Session                     , Data Link                 , A       
306, CN      , Network Models    , easy       , Which layer is responsible for routing?                    , Physical                    , Network                         , Transport                   , Session                   , B       
307, CN      , Physical Layer    , easy       , The physical layer deals with?                             , Data packets                , Signals and media               , Frames                      , Routing                   , B       
308, CN      , Physical Layer    , easy       , Which topology has a single central cable?                 , Star                        , Ring                            , Bus                         , Mesh                      , C       
309, CN      , Data Link Layer   , easy       , Which layer performs error detection?                      , Physical                    , Network                         , Data Link                   , Transport                 , C       
310, CN      , Data Link Layer   , easy       , CRC stands for?                                            , Cyclic Redundancy Check     , Code Redundancy Control         , Channel Rate Code           , Cyclic Rate Check         , A       
311, CN      , Network Layer     , easy       , IP address belongs to which layer?                         , Network                     , Transport                       , Application                 , Physical                  , A       
312, CN      , Transport Layer   , easy       , TCP is a?                                                  , Connectionless protocol     , Connection-oriented protocol    , Stateless protocol          , Simple protocol           , B       
313, CN      , Transport Layer   , easy       , UDP is used for?                                           , Reliable transfer           , Unreliable fast transfer        , Error-free transfer         , File transfer             , B       
314, CN      , Application Layer , easy       , Which protocol is used to transfer web pages?              , FTP                         , SMTP                            , HTTP                        , SNMP                      , C       
315, CN      , Application Layer , easy       , Which application uses SMTP?                               , File transfer               , Email                           , Web browsing                , Remote login              , B       
316, CN      , Network Models    , moderate_1 , TCP/IP model has how many layers?                          ,4,5,6,7, A       
317, CN      , Network Models    , moderate_1 , Which OSI layer provides data encryption?                  , Application                 , Presentation                    , Session                     , Transport                 , B       
318, CN      , Network Models    , moderate_1 , The session layer is responsible for?                      , Data transfer               , Session management              , Error control               , Routing                   , B       
319, CN      , Data Link Layer   , moderate_1 , Flow control is used to?                                   , Manage congestion           , Match sender and receiver speed , Detect errors               , Synchronize devices       , B       
320, CN      , Data Link Layer   , moderate_1 , Stop and Wait is a type of?                                , Error control               , Flow control                    , ARQ                         , Access method             , B       
321, CN      , Network Layer     , moderate_1 , Which of the following is not a routing algorithm?         , Distance vector             , Link state                      , Flooding                    , HTTP                      , D       
322, CN      , Network Layer     , moderate_1 , Which protocol provides logical addressing?                , IP                          , ARP                             , RARP                        , ICMP                      , A       
323, CN      , Transport Layer   , moderate_1 , Which of the following is not a TCP feature?               , Flow control                , Error control                   , Congestion control          , Stateless communication   , D       
324, CN      , Transport Layer   , moderate_1 , Which field ensures data integrity in TCP segment?         , Checksum                    , Sequence number                 , Window size                 , Port                      , A       
325, CN      , Application Layer , moderate_1 , DNS is used for?                                           , IP address resolution       , File transfer                   , Encryption                  , Packet switching          , A       
326, CN      , Application Layer , moderate_1 , FTP stands for?                                            , File Transfer Protocol      , Fast Transfer Process           , File Tracking Protocol      , Frame Transfer Protocol   , A       
327, CN      , Network Layer     , moderate_1 , ICMP is mainly used for?                                   , Error reporting             , File transfer                   , Routing                     , Security                  , A       
328, CN      , Security          , moderate_1 , Firewall works on which layer?                             , Physical                    , Network                         , Transport                   , Application               , B       
329, CN      , Network Layer     , moderate_1 , Which address uniquely identifies a host in a network?     , Port number                 , MAC address                     , IP address                  , Host name                 , C       
330, CN      , Physical Layer    , moderate_1 , Bandwidth refers to?                                       , Data storage                , Signal frequency range          , Power of signal             , Frame size                , B       
331, CN      , Network Layer     , moderate_2 , The size of IPv4 address is?                               , 32 bits                     , 48 bits                         , 64 bits                     , 128 bits                  , A       
332, CN      , Network Layer     , moderate_2 , Which of the following is not a class of IPv4 address?     , A                           , B                               , E                           , F                         , D       
333, CN      , Network Layer     , moderate_2 , Default mask for Class C IP address is?                    , 255.0.0.0                   , 255.255.0.0                     , 255.255.255.0               , 255.255.255.255           , C       
334, CN      , Network Layer     , moderate_2 , Routing is performed by?                                   , Bridge                      , Switch                          , Router                      , Repeater                  , C       
335, CN      , Transport Layer   , moderate_2 , Port number in TCP/IP identifies?                          , Host                        , Application                     , Device                      , Process                   , B       
336, CN      , Application Layer , moderate_2 , SNMP is used for?                                          , Network management          , Mail transfer                   , Web transfer                , File access               , A       
337, CN      , Application Layer , moderate_2 , Which layer ensures dialog control?                        , Transport                   , Session                         , Presentation                , Network                   , B       
338, CN      , Application Layer , moderate_2 , HTTP operates over?                                        , UDP                         , TCP                             , IP                          , ICMP                      , B       
339, CN      , Application Layer , moderate_2 , Telnet is used for?                                        , Email                       , File transfer                   , Remote login                , Encryption                , C       
340, CN      , Transport Layer   , moderate_2 , Flow control in TCP is done using?                         , Window size                 , Sequence number                 , Timeout                     , Port                      , A       
341, CN      , Network Layer     , hard       , The protocol used for mapping IP to MAC is?                , DNS                         , ARP                             , RARP                        , ICMP                      , B       
342, CN      , Network Layer     , hard       , ICMP echo request is used in?                              , FTP                         , Ping                            , Telnet                      , SMTP                      , B       
343, CN      , Network Layer     , hard       , Fragmentation occurs at which layer?                       , Transport                   , Network                         , Data link                   , Physical                  , B       
344, CN      , Network Layer     , hard       , What does TTL in IP header represent?                      , Transmission Time Limit     , Time To Live                    , Transmission Traffic Length , Transport Layer Limit     , B       
345, CN      , Network Layer     , hard       , Routing table is maintained by?                            , Router                      , Switch                          , Hub                         , Gateway                   , A       
346, CN      , Network Layer     , hard       , Which algorithm is used in distance vector routing?        , Dijkstra                    , Bellman-Ford                    , Kruskal                     , Prim                      , B       
347, CN      , Transport Layer   , hard       , TCP congestion control uses?                               , Slow start                  , Fast open                       , Window reset                , Dynamic ports             , A       
348, CN      , Transport Layer   , hard       , Which field in TCP ensures reliable delivery?              , Sequence number             , Header length                   , Flags                       , Checksum                  , A       
349, CN      , Application Layer , hard       , HTTPS uses which port number by default?                   ,80,21,443,25, C       
350, CN      , Application Layer , hard       , Which application protocol uses port 25?                   , HTTP                        , SMTP                            , FTP                         , DNS                       , B       
351, CN      , Security          , hard       , Which protocol provides secure data transfer?              , HTTP                        , HTTPS                           , FTP                         , SNMP                      , B       
352, CN      , Security          , hard       , SSL works between which layers?                            , Application and Transport   , Transport and Network           , Data link and Physical      , Network and Physical      , A       
353, CN      , Network Layer     , hard       , IPv6 address size is?                                      , 32 bits                     , 64 bits                         , 128 bits                    , 256 bits                  , C       
354, CN      , Network Layer     , hard       , Loopback address in IPv4 is?                               , 127.0.0.1                   , 192.168.0.1                     , 0.0.0.0                     , 255.255.255.255           , A       
355, CN      , Application Layer , hard       , Which protocol uses port 53?                               , DNS                         , SMTP                            , FTP                         , HTTP                      , A       
356, CN      , Network Layer     , hard       , NAT stands for?                                            , Network Address Translation , Node Allocation Table           , Network Access Type         , New Addressing Technique  , A       
357, CN      , Transport Layer   , hard       , UDP is best suited for?                                    , File transfer               , Video streaming                 , Email                       , Database                  , B       
358, CN      , Application Layer , hard       , POP3 and IMAP are used for?                                , Sending emails              , Receiving emails                , File sharing                , Encryption                , B       
359, CN      , Network Layer     , hard       , Default gateway connects?                                  , Same network devices        , Different networks              , IP to MAC                   , Applications              , B       
360, CN      , Security          , hard       , VPN stands for?                                            , Virtual Private Network     , Verified Protected Network      , Virtual Packet Node         , Variable Protocol Network , A       
361,Cloud Computing,Basics,easy,Cloud computing means?,Using Internet for computing services,Offline computing,Local servers only,Manual computing,A
362,Cloud Computing,Basics,easy,Main characteristic of cloud computing?,On-demand self-service,Manual configuration,Hardware-based,Static services,A
363,Cloud Computing,Basics,easy,Which is not a service model?,IaaS,PaaS,CaaS,SaaS,C
364,Cloud Computing,Basics,easy,Which company introduced AWS?,Amazon,Google,Microsoft,IBM,A
365,Cloud Computing,Basics,easy,Example of SaaS?,Gmail,AWS EC2,Azure VM,Kubernetes,A
366,Cloud Computing,Basics,easy,Cloud allows?,Resource pooling,Limited access,No virtualization,Manual scaling,A
367,Cloud Computing,Basics,easy,Which deployment model is shared by public?,Public Cloud,Private Cloud,Hybrid Cloud,Community Cloud,A
368,Cloud Computing,Basics,easy,Full form of IaaS?,Infrastructure as a Service,Internet as a System,Information as a Source,None,A
369,Cloud Computing,Basics,easy,Platform as a Service provides?,Runtime environment,Physical hardware,Software only,Data only,A
370,Cloud Computing,Basics,easy,Which service offers virtual machines?,IaaS,SaaS,PaaS,None,A
371,Cloud Computing,Basics,easy,Key enabler of cloud computing?,Virtualization,Blockchain,DNS,Cookies,A
372,Cloud Computing,Basics,easy,Which layer interacts with users?,SaaS,PaaS,IaaS,Hardware,A
373,Cloud Computing,Basics,easy,Which is not a cloud provider?,AWS,Google Cloud,Windows,Azure,C
374,Cloud Computing,Basics,easy,Cloud computing uses?,Internet,LAN,Intranet,VPN only,A
375,Cloud Computing,Basics,easy,Which is example of IaaS?,Amazon EC2,Gmail,Dropbox,Zoom,A
376,Cloud Computing,Architecture,moderate_1,NIST defines how many essential characteristics?,5,4,3,6,A
377,Cloud Computing,Architecture,moderate_1,Key feature of elasticity?,Scale up/down resources,Fixed capacity,Only increase,None,A
378,Cloud Computing,Architecture,moderate_1,Resource pooling means?,Shared resources,Dedicated server,Manual allocation,None,A
379,Cloud Computing,Architecture,moderate_1,Measured service means?,Usage-based billing,Flat rate,Subscription,Manual metering,A
380,Cloud Computing,Architecture,moderate_1,Rapid elasticity provides?,Dynamic resource scaling,Manual scaling,Security,Backup,A
381,Cloud Computing,Virtualization,moderate_1,Virtualization allows?,Multiple OS on same hardware,One OS per hardware,No sharing,None,A
382,Cloud Computing,Virtualization,moderate_1,Hypervisor is also called?,VMM,VM,VMU,VMS,A
383,Cloud Computing,Virtualization,moderate_1,Type-1 hypervisor runs on?,Bare metal,Host OS,VM,Cloud only,A
384,Cloud Computing,Virtualization,moderate_1,VMware is example of?,Type-1 hypervisor,Type-2 hypervisor,Container,None,B
385,Cloud Computing,Virtualization,moderate_1,Containerization uses?,Docker,Hyper-V,BIOS,RAID,A
386,Cloud Computing,Storage,moderate_2,Cloud storage stores data in?,Virtualized servers,Local drives,Floppy disks,Pen drives,A
387,Cloud Computing,Storage,moderate_2,Amazon S3 provides?,Object storage,Block storage,File storage,None,A
388,Cloud Computing,Storage,moderate_2,Google Drive is example of?,SaaS,IaaS,PaaS,None,A
389,Cloud Computing,Storage,moderate_2,Redundancy ensures?,Data availability,Data deletion,Low performance,None,A
390,Cloud Computing,Networking,moderate_2,Which protocol used in cloud data transfer?,HTTP/HTTPS,SMTP,FTP only,UDP only,A
391,Cloud Computing,Security,moderate_2,Cloud security includes?,Authentication,Encryption,Access control,All,D
392,Cloud Computing,Security,moderate_2,Multi-tenancy means?,Shared resources among users,Dedicated server,Local system,None,A
393,Cloud Computing,Security,moderate_2,Data encryption ensures?,Confidentiality,Availability,Speed,None,A
394,Cloud Computing,Security,moderate_2,VPN provides?,Secure channel,Storage,Virtualization,None,A
395,Cloud Computing,Security,moderate_2,Compliance ensures?,Legal standards,Cost reduction,Redundancy,None,A
396,Cloud Computing,Cloud Providers,hard,Azure developed by?,Microsoft,Google,IBM,Oracle,A
397,Cloud Computing,Cloud Providers,hard,GCP stands for?,Google Cloud Platform,General Cloud Process,Global Compute Platform,None,A
398,Cloud Computing,Cloud Providers,hard,AWS EC2 offers?,Virtual servers,Object storage,Queues,DNS,A
399,Cloud Computing,Cloud Providers,hard,AWS S3 stores?,Objects,Files,Blocks,Tables,A
400,Cloud Computing,Cloud Providers,hard,CloudWatch used for?,Monitoring AWS resources,Backup,Networking,None,A
401,Cloud Computing,Management,hard,SLA stands for?,Service Level Agreement,Secure Layer Access,Standard Licensing API,None,A
402,Cloud Computing,Management,hard,Orchestration means?,Automating cloud tasks,Manual scheduling,Backup,Encryption,A
403,Cloud Computing,Management,hard,Auto-scaling helps in?,Dynamic resource allocation,Manual start,Stopping VM,None,A
404,Cloud Computing,Management,hard,Billing in cloud is based on?,Usage,Fixed cost,Device type,None,A
405,Cloud Computing,Management,hard,Which model provides max control?,IaaS,SaaS,PaaS,None,A
406,Cloud Computing,Trends,hard,Edge computing means?,Processing near data source,Centralized data,Manual processing,None,A
407,Cloud Computing,Trends,hard,Serverless computing means?,Run code without managing servers,Run on physical servers,Manual scaling,None,A
408,Cloud Computing,Trends,hard,Kubernetes used for?,Container orchestration,VM management,Security,Storage,A
409,Cloud Computing,Trends,hard,Function-as-a-Service is part of?,Serverless model,IaaS,PaaS,SaaS,A
410,Cloud Computing,Trends,hard,Which company offers Lambda?,Amazon,Google,IBM,Microsoft,A
411,Cloud Computing,Security,hard,IAM stands for?,Identity and Access Management,Internet Access Module,Internal Admin Manager,None,A
412,Cloud Computing,Security,hard,Encryption converts data to?,Unreadable form,Readable text,Numbers,None,A
413,Cloud Computing,Security,hard,Backup ensures?,Data recovery,Data deletion,Encryption,None,A
414,Cloud Computing,Security,hard,Risk management identifies?,Threats and vulnerabilities,Servers,Billing,None,A
415,Cloud Computing,Compliance,hard,GDPR relates to?,Data protection,Cloud storage,Computing speed,None,A
416,Cloud Computing,Virtualization,hard,KVM is a?,Type-1 hypervisor,Type-2 hypervisor,Container,None,A
417,Cloud Computing,Performance,hard,Load balancing helps?,Distribute workload,Reduce redundancy,Encrypt data,None,A
418,Cloud Computing,Performance,hard,CDN stands for?,Content Delivery Network,Cloud Data Node,Central Data Network,None,A
419,Cloud Computing,Trends,hard,Cloud bursting means?,Using public cloud during peak,Data backup,Encryption,None,A
420,Cloud Computing,Security,hard,Main security challenge in cloud?,Data privacy,Data entry,Low cost,None,A
421, CSCL    , Introduction     , easy       , Cyber security primarily deals with protection of?     , Physical assets                         , Digital information                      , Legal rights                     , Software licenses                  , B       
422, CSCL    , Introduction     , easy       , Which of the following is an example of cybercrime?    , Data entry                              , Password cracking                        , File sharing                     , Backup creation                    , B       
423, CSCL    , Introduction     , easy       , Which is not a goal of cybersecurity?                  , Confidentiality                         , Integrity                                , Availability                     , Affordability                      , D       
424, CSCL    , Cyber Attacks    , easy       , Phishing is related to?                                , Network attack                          , Email fraud                              , Password encryption              , Hardware failure                   , B       
425, CSCL    , Cyber Attacks    , easy       , Malware means?                                         , Malfunctioning software                 , Malicious software                       , Management software              , Mobile software                    , B       
426, CSCL    , Cyber Attacks    , easy       , Ransomware does what?                                  , Steals passwords                        , Encrypts data for ransom                 , Deletes files permanently        , Repairs corrupted files            , B       
427, CSCL    , Cryptography     , easy       , Encryption is used to ensure?                          , Integrity                               , Confidentiality                          , Availability                     , Redundancy                         , B       
428, CSCL    , Cryptography     , easy       , Which is an example of symmetric encryption?           , RSA                                     , AES                                      , DSA                              , ECC                                , B       
429, CSCL    , Cryptography     , easy       , Which is an asymmetric algorithm?                      , AES                                     , DES                                      , RSA                              , Blowfish                           , C       
430, CSCL    , Authentication   , easy       , Authentication verifies?                               , Data accuracy                           , User identity                            , System security                  , Network bandwidth                  , B       
431, CSCL    , Authentication   , easy       , Which of the following is a biometric method?          , Password                                , OTP                                      , Fingerprint                      , PIN                                , C       
432, CSCL    , Cyber Law        , easy       , The Indian IT Act was passed in which year?            ,1998,2000,2002,2005, B       
433, CSCL    , Cyber Law        , easy       , The full form of ITA is?                               , Internet Technology Act                 , Information Technology Act               , International Trade Act          , Internet Transfer Act              , B       
434, CSCL    , Cyber Law        , easy       , The main objective of the IT Act is?                   , Data storage                            , E-commerce regulation                    , Electronic governance & security , Encryption development             , C       
435, CSCL    , Cyber Law        , easy       , Section 66 of IT Act deals with?                       , Email spam                              , Hacking offenses                         , Cyber terrorism                  , Data theft                         , B       
436, CSCL    , Cyber Attacks    , moderate_1 , Denial of Service (DoS) attack affects?                , Memory                                  , Availability                             , Integrity                        , Confidentiality                    , B       
437, CSCL    , Cyber Attacks    , moderate_1 , Trojan Horse hides within?                             , Network packet                          , Legitimate program                       , BIOS chip                        , Browser extension                  , B       
438, CSCL    , Cyber Attacks    , moderate_1 , Spyware is used to?                                    , Encrypt data                            , Monitor user activity                    , Prevent viruses                  , Speed up devices                   , B       
439, CSCL    , Network Security , moderate_1 , Firewall works at which layer?                         , Physical                                , Network                                  , Application                      , Transport                          , B       
440, CSCL    , Network Security , moderate_1 , IDS stands for?                                        , Intrusion Detection System              , Internet Defense Software                , Information Data System          , Internal Detection Source          , A       
441, CSCL    , Network Security , moderate_1 , VPN ensures?                                           , Confidentiality of communication        , Faster speed                             , Cheaper internet                 , Anonymous storage                  , A       
442, CSCL    , Authentication   , moderate_1 , Two-factor authentication increases?                   , Data redundancy                         , Access speed                             , Security                         , Connectivity                       , C       
443, CSCL    , Authentication   , moderate_1 , Digital signatures are used for?                       , Integrity & authentication              , Encryption only                          , Decryption                       , File compression                   , A       
444, CSCL    , Cryptography     , moderate_1 , Hash functions provide?                                , Integrity                               , Confidentiality                          , Non-repudiation                  , Access control                     , A       
445, CSCL    , Cryptography     , moderate_1 , SHA stands for?                                        , Secure Hash Algorithm                   , Secure Hardware Access                   , System Hashing Architecture      , Safe Hardware Algorithm            , A       
446, CSCL    , Cyber Law        , moderate_1 , Section 67 of IT Act deals with?                       , Hacking                                 , Publishing obscene material              , Identity theft                   , E-commerce                         , B       
447, CSCL    , Cyber Law        , moderate_1 , Section 43 of IT Act deals with?                       , Unauthorized access                     , Cyber terrorism                          , Privacy                          , Copyright                          , A       
448, CSCL    , Cyber Law        , moderate_1 , Digital signatures in India are certified by?          , NASSCOM                                 , NIC                                      , Certifying Authorities           , RBI                                , C       
449, CSCL    , Cyber Law        , moderate_1 , The adjudicating officer handles?                      , Civil offenses                          , Criminal cases                           , Hacking trials                   , User complaints                    , A       
450, CSCL    , Cyber Law        , moderate_1 , Cyber Appellate Tribunal (CAT) was established under?  , IT Act 2000                             , IPC 1860                                 , IT Rules 2011                    , Data Privacy Act                   , A       
451, CSCL    , Network Security , moderate_2 , Firewall can be?                                       , Hardware only                           , Software only                            , Both hardware and software       , None                               , C       
452, CSCL    , Network Security , moderate_2 , Proxy servers are used to?                             , Block websites                          , Improve performance and filter traffic   , Encrypt all packets              , Store passwords                    , B       
453, CSCL    , Cryptography     , moderate_2 , Public key encryption uses how many keys?              ,1,2,3,4, B       
454, CSCL    , Cryptography     , moderate_2 , Which algorithm uses public and private keys?          , AES                                     , DES                                      , RSA                              , MD5                                , C       
455, CSCL    , Cryptography     , moderate_2 , Digital signature ensures?                             , Confidentiality                         , Non-repudiation                          , Redundancy                       , Speed                              , B       
456, CSCL    , Cryptography     , moderate_2 , SSL stands for?                                        , Secure Socket Layer                     , Security Service Link                    , Simple Socket Layer              , Safe Secure Line                   , A       
457, CSCL    , Cryptography     , moderate_2 , HTTPS uses which protocol for encryption?              , SSH                                     , SSL/TLS                                  , FTP                              , ARP                                , B       
458, CSCL    , Cyber Law        , moderate_2 , Section 66C of IT Act deals with?                      , Obscene material                        , Identity theft                           , Email spam                       , Ransomware                         , B       
459, CSCL    , Cyber Law        , moderate_2 , Section 66F of IT Act deals with?                      , Data theft                              , Cyber terrorism                          , E-mail fraud                     , Defamation                         , B       
460, CSCL    , Cyber Law        , moderate_2 , Cybercrime investigation in India is handled by?       , RBI                                     , CERT-In                                  , NIA                              , TRAI                               , B       
461, CSCL    , Cyber Law        , hard       , CERT-In stands for?                                    , Central Emergency Response Team         , Computer Emergency Response Team         , Cyber Electronic Reporting Team  , Certified Encryption Response Team , B       
462, CSCL    , Cyber Law        , hard       , Digital Evidence is admissible under which section?    , 65A                                     , 67B                                      ,69,70, A       
463, CSCL    , Cyber Law        , hard       , Which section provides punishment for cyber terrorism? , 66F                                     ,65,67,69, A       
464, CSCL    , Cyber Law        , hard       , Which act provides legal recognition for e-documents?  , IT Act 2000                             , E-Gov Act                                , Cyber Law 2002                   , Privacy Act                        , A       
465, CSCL    , Cryptography     , hard       , RSA algorithm is based on?                             , Prime factorization                     , XOR logic                                , Matrix operations                , Hash chaining                      , A       
466, CSCL    , Cryptography     , hard       , AES uses block size of?                                , 64 bits                                 , 128 bits                                 , 256 bits                         , 512 bits                           , B       
467, CSCL    , Network Security , hard       , Intrusion Prevention System (IPS) is used for?         , Attack detection and blocking           , Only detection                           , Encryption                       , Monitoring only                    , A       
468, CSCL    , Network Security , hard       , Honeypot is used for?                                  , Attracting hackers                      , Encrypting data                          , Speeding up system               , Data recovery                      , A       
469, CSCL    , Authentication   , hard       , Biometrics ensures?                                    , Confidentiality                         , Non-repudiation                          , User authentication              , Data encryption                    , C       
470, CSCL    , Cryptography     , hard       , MD5 generates output of?                               , 64 bits                                 , 128 bits                                 , 256 bits                         , 512 bits                           , B       
471, CSCL    , Network Security , hard       , Zero Trust Model means?                                , Always trust internal users             , Verify everything before access          , Block all connections            , Encrypt all traffic                , B       
472, CSCL    , Cyber Attacks    , hard       , SQL Injection targets?                                 , Database layer                          , Network layer                            , Application layer                , Physical layer                     , C       
473, CSCL    , Cyber Attacks    , hard       , Man-in-the-middle attack compromises?                  , Integrity                               , Confidentiality                          , Availability                     , All                                , D       
474, CSCL    , Cyber Attacks    , hard       , Botnet is a network of?                                , Servers                                 , Infected computers                       , Routers                          , Firewalls                          , B       
475, CSCL    , Cyber Law        , hard       , Cyber defamation is punishable under?                  , IPC 499                                 , ITA 66D                                  , ITA 66F                          , IPC 420                            , A       
476, CSCL    , Cyber Law        , hard       , IT Act 2008 amendment included?                        , Data protection                         , Digital signatures                       , Cyber terrorism                  , All                                , D       
477, CSCL    , Cyber Law        , hard       , Section 69 of IT Act allows?                           , Decryption and monitoring by government , Internet shutdown                        , Blocking social media            , Data retention                     , A       
478, CSCL    , Cyber Law        , hard       , Indian Cyber Appellate Tribunal merged with?           , TDSAT                                   , NIA                                      , TRAI                             , CERT-In                            , A       
479, CSCL    , Cyber Forensics  , hard       , Cyber forensics is mainly used for?                    , Investigating cybercrimes               , Encrypting data                          , Testing hardware                 , Improving bandwidth                , A       
480, CSCL    , Emerging Trends  , hard       , Zero-day exploit refers to?                            , Known vulnerability                     , Newly discovered unpatched vulnerability , Network delay                    , Botnet attack                      , B       
481,Data Structures,Arrays,easy,What is an array?,Collection of variables of same type,Collection of functions,Group of structures,Group of loops,A
482,Data Structures,Arrays,easy,Index of first element in array is?,0,1,-1,Depends,A
483,Data Structures,Arrays,easy,Which operator is used to access array elements?,(),[],{},.,B
484,Data Structures,Linked Lists,easy,Linked list elements are connected using?,Pointers,Indexes,Stacks,Queues,A
485,Data Structures,Linked Lists,easy,First node in linked list is called?,Tail,Head,Body,None,B
486,Data Structures,Stacks,easy,Stack follows which principle?,LIFO,FIFO,LILO,FILO,A
487,Data Structures,Queues,easy,Queue follows which principle?,LIFO,FIFO,FILO,None,B
488,Data Structures,Queues,easy,Front of queue is used for?,Insertion,Deletion,Display,Sorting,B
489,Data Structures,Trees,easy,Tree is a type of?,Linear DS,Non-linear DS,Array,Linked list,B
490,Data Structures,Trees,easy,Root node has?,Parent,No parent,Two parents,None,B
491,Data Structures,Sorting,easy,Which sorting is simplest?,Bubble sort,Quick sort,Merge sort,Heap sort,A
492,Data Structures,Sorting,easy,Bubble sort compares?,Adjacent elements,Random elements,Alternate elements,End elements,A
493,Data Structures,Searching,easy,Which search works on sorted data?,Linear,Binary,Sequential,Tree,B
494,Data Structures,Searching,easy,Linear search time complexity is?,O(n),O(log n),O(1),O(n^2),A
495,Data Structures,Arrays,easy,Which stores elements in continuous memory?,Linked list,Array,Tree,Stack,B
496,Data Structures,Arrays,moderate_1,What is size of int arr[10];,10 bytes,20 bytes,Depends on system,40 bytes,C
497,Data Structures,Arrays,moderate_1,Which of the following is dynamic?,Array,Linked list,Queue,Stack,B
498,Data Structures,Linked Lists,moderate_1,Which node points to null?,First,Last,Middle,All,B
499,Data Structures,Linked Lists,moderate_1,Advantage of linked list over array?,Fixed size,Dynamic size,Random access,Less memory,B
500,Data Structures,Stacks,moderate_1,Which operation removes top element?,push(),pop(),top(),peek(),B
501,Data Structures,Stacks,moderate_1,Stack overflow means?,Too many pushes,Too many pops,Empty stack,Invalid data,A
502,Data Structures,Queues,moderate_1,Circular queue removes which problem?,Underflow,Overflow,Wastage of space,Deadlock,C
503,Data Structures,Queues,moderate_1,Double-ended queue is also called?,Circular queue,Deque,Priority queue,Simple queue,B
504,Data Structures,Trees,moderate_1,Binary tree means node can have max?,1 child,2 children,3 children,Any number,B
505,Data Structures,Trees,moderate_1,Full binary tree has?,All leaves same level,Every node has 0 or 2 children,Complete nodes,Sorted order,B
506,Data Structures,Sorting,moderate_1,Which sorting uses divide and conquer?,Bubble,Insertion,Quick,Selection,C
507,Data Structures,Sorting,moderate_1,Best case of insertion sort?,Sorted array,Reverse array,Random array,All same,A
508,Data Structures,Searching,moderate_1,Binary search requires data to be?,Sorted,Unsorted,Partial,All same,A
509,Data Structures,Searching,moderate_1,What is worst case of binary search?,O(1),O(n),O(log n),O(n log n),C
510,Data Structures,Stacks,moderate_1,Which converts infix to postfix?,Stack,Queue,Tree,Array,A
511,Data Structures,Arrays,moderate_2,"In array arr[5], valid index range?",1â€“5,0â€“4,0â€“5,1â€“4,B
512,Data Structures,Arrays,moderate_2,Access time of array element is?,O(n),O(1),O(log n),O(n^2),B
513,Data Structures,Linked Lists,moderate_2,To traverse linked list we need?,For loop,Pointer,Array index,Stack,B
514,Data Structures,Linked Lists,moderate_2,Which operation is not efficient in array?,Access,Search,Insertion in middle,Traversal,C
515,Data Structures,Stacks,moderate_2,Which data structure used for recursion?,Queue,Array,Stack,Tree,C
516,Data Structures,Stacks,moderate_2,Postfix expression evaluation uses?,Stack,Queue,Array,Tree,A
517,Data Structures,Queues,moderate_2,Priority queue serves?,Highest priority first,Lowest priority first,FIFO,Random,A
518,Data Structures,Queues,moderate_2,Queue can be implemented using?,Array,Linked list,Both,None,C
519,Data Structures,Trees,moderate_2,Height of tree means?,Longest path from root,Shortest path,Number of nodes,Number of leaves,A
520,Data Structures,Trees,moderate_2,Inorder of binary tree gives?,Prefix,Postfix,Sorted order,None,C
521,Data Structures,Sorting,moderate_2,Merge sort complexity?,O(n log n),O(n^2),O(log n),O(n),A
522,Data Structures,Sorting,moderate_2,Heap sort uses which structure?,Array,Stack,Heap,Tree,C
